epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,317.192,0.96462,2.38189,1.26041,0.65267,0.62542,0.67036,0.45687,1.02193,1.29179,1.24595,0.000138732,0.000138732,0.000138732
2,633.008,1.0222,1.66968,1.29995,0.68419,0.63414,0.69155,0.46867,1.05997,1.23691,1.27359,0.000268567,0.000268567,0.000268567
3,942.116,1.04314,1.59694,1.31277,0.60922,0.56463,0.58476,0.3783,1.14269,1.41736,1.35038,0.000389227,0.000389227,0.000389227
4,1245.02,1.05717,1.54811,1.32008,0.68387,0.61635,0.67771,0.45182,1.07669,1.22796,1.29643,0.000375717,0.000375717,0.000375717
5,1546.47,1.03485,1.45549,1.30723,0.708,0.61786,0.69024,0.46722,1.08028,1.2039,1.30682,0.000361956,0.000361956,0.000361956
6,1852.51,1.02584,1.39581,1.30486,0.72707,0.66326,0.7238,0.49801,1.05572,1.13851,1.27535,0.000348195,0.000348195,0.000348195
7,2154.86,1.00202,1.33753,1.28502,0.73984,0.66046,0.73348,0.50901,1.04311,1.09277,1.27279,0.000334434,0.000334434,0.000334434
8,2461.69,0.98566,1.3011,1.27794,0.74162,0.65847,0.74034,0.52186,1.01349,1.06904,1.23809,0.000320673,0.000320673,0.000320673
9,2766.12,0.97981,1.25075,1.26613,0.74694,0.67231,0.74514,0.52213,1.00616,1.05409,1.22917,0.000306912,0.000306912,0.000306912
10,3075.42,0.97317,1.23506,1.26754,0.7601,0.69228,0.76682,0.5445,1.00195,0.99056,1.23276,0.000293151,0.000293151,0.000293151
11,3380.61,0.96075,1.20013,1.25846,0.74434,0.6843,0.75006,0.5342,0.99365,1.01817,1.22509,0.00027939,0.00027939,0.00027939
12,3686.11,0.94874,1.17704,1.25176,0.74962,0.69512,0.76864,0.54816,0.99459,0.96301,1.22515,0.000265629,0.000265629,0.000265629
13,3990.46,0.93985,1.14426,1.24285,0.77793,0.70624,0.79085,0.56857,0.96779,0.93543,1.20228,0.000251868,0.000251868,0.000251868
14,4292.03,0.9351,1.12436,1.23941,0.79727,0.70375,0.7965,0.58007,0.95778,0.90301,1.19813,0.000238107,0.000238107,0.000238107
15,4598.85,0.92593,1.10735,1.23164,0.77624,0.71983,0.79518,0.57907,0.95552,0.90991,1.19863,0.000224346,0.000224346,0.000224346
16,4903.25,0.91122,1.08611,1.22215,0.79667,0.72438,0.80174,0.58351,0.95176,0.88362,1.19386,0.000210585,0.000210585,0.000210585
17,5201.38,0.9095,1.05902,1.22157,0.80085,0.72214,0.80414,0.5887,0.94959,0.8745,1.19326,0.000196824,0.000196824,0.000196824
18,5503.81,0.90041,1.04918,1.21457,0.78747,0.74701,0.81453,0.59836,0.93283,0.86288,1.18095,0.000183063,0.000183063,0.000183063
19,5810.53,0.88792,1.02399,1.20458,0.79221,0.73573,0.8132,0.5995,0.936,0.84388,1.1793,0.000169302,0.000169302,0.000169302
20,6122.22,0.88151,1.01186,1.20195,0.79851,0.73955,0.81354,0.60036,0.93208,0.84493,1.17934,0.000155541,0.000155541,0.000155541
21,6423.4,0.8552,0.86293,1.18531,0.80767,0.73481,0.81683,0.60427,0.92377,0.83262,1.17207,0.00014178,0.00014178,0.00014178
22,6719.57,0.83702,0.8152,1.16802,0.81419,0.73049,0.81973,0.60875,0.91491,0.82124,1.16239,0.000128019,0.000128019,0.000128019
23,7018.65,0.82243,0.79594,1.15843,0.80748,0.74691,0.8263,0.61665,0.91325,0.81064,1.16607,0.000114258,0.000114258,0.000114258
24,7316.38,0.80806,0.76565,1.14621,0.82,0.7376,0.82823,0.61892,0.91047,0.79956,1.16333,0.000100497,0.000100497,0.000100497
25,7612.43,0.79681,0.74849,1.13682,0.80612,0.75604,0.82877,0.62167,0.90672,0.79251,1.1624,8.6736e-05,8.6736e-05,8.6736e-05
26,7908.6,0.78863,0.73092,1.1312,0.81754,0.75081,0.83337,0.62647,0.90491,0.78652,1.16073,7.2975e-05,7.2975e-05,7.2975e-05
27,8205.88,0.77632,0.7124,1.12553,0.82117,0.75171,0.8342,0.62805,0.90224,0.78263,1.15913,5.9214e-05,5.9214e-05,5.9214e-05
28,8499.08,0.7707,0.69284,1.11724,0.81243,0.75871,0.835,0.62811,0.90133,0.77673,1.15562,4.5453e-05,4.5453e-05,4.5453e-05
29,8796.54,0.75788,0.68112,1.10701,0.82586,0.74802,0.835,0.63067,0.89845,0.77373,1.15602,3.1692e-05,3.1692e-05,3.1692e-05
30,9091,0.75089,0.66862,1.1046,0.82261,0.75546,0.83589,0.63165,0.89728,0.77087,1.15429,1.7931e-05,1.7931e-05,1.7931e-05
